moveType,moves,avg_delta,median_delta,p90_delta,p10_delta,avg_move_value,median_move_value
concede,66,0.0,0.0,0.0,0.0,0.0,0.0
counter,2804,-4.743223965763195,0.0,0.0,-10.0,-4.743223965763195,0.0
deal,2333,0.0,0.0,0.0,0.0,0.0,0.0
draw,28832,0.8488138179800222,0.0,5.0,-2.0,0.8488138179800222,0.0
faceCard,8537,-1.5332083870212019,-1.0,12.0,-12.0,-1.5332083870212019,-1.0
fizzle,2142,-0.09103641456582633,0.0,0.0,0.0,-0.09103641456582633,0.0
jack,2597,-2.772429726607624,-7.0,26.0,-31.0,-2.772429726607624,-7.0
oneOff,17328,-0.612707756232687,0.0,2.0,-3.0,-0.612707756232687,0.0
pass,450,0.0,0.0,0.0,0.0,0.0,0.0
points,11482,0.6168785925796899,-11.0,17.0,-11.0,0.6168785925796899,-11.0
resolve,16228,-0.3238846438254868,0.0,11.0,-12.0,-0.3238846438254868,0.0
resolveFive,3127,2.487048289094979,0.0,10.0,0.0,2.487048289094979,0.0
resolveFour,2344,-1.5392491467576792,0.0,1.0,-6.0,-1.5392491467576792,0.0
resolveThree,2398,2.7155963302752295,0.0,10.0,0.0,2.7155963302752295,0.0
scuttle,2735,-2.393053016453382,6.0,11.0,-18.0,-2.393053016453382,6.0
sevenDiscard,10,0.0,0.0,0.0,0.0,0.0,0.0
sevenFaceCard,568,-0.19190140845070422,-1.0,13.0,-12.0,-0.19190140845070422,-1.0
sevenJack,86,1.127906976744186,8.0,31.0,-31.0,1.127906976744186,8.0
sevenOneOff,1042,0.0,0.0,0.0,0.0,0.0,0.0
sevenPoints,671,1.3353204172876305,-11.0,20.0,-11.0,1.3353204172876305,-11.0
sevenScuttle,77,1.2987012987012987,11.0,11.0,-18.0,1.2987012987012987,11.0
stalemateAccept,89,0.0,0.0,0.0,0.0,0.0,0.0
stalemateReject,8,0.0,0.0,0.0,0.0,0.0,0.0
stalemateRequest,97,0.0,0.0,0.0,0.0,0.0,0.0
