prob_bin,count,win_rate,avg_prob
"(0.0, 0.1]",799,0.07759699624530664,0.08142487268478812
"(0.1, 0.2]",8235,0.14523375834851246,0.15907045865471886
"(0.2, 0.3]",18492,0.25870646766169153,0.2540837286108328
"(0.3, 0.4]",27968,0.36345108695652173,0.3530480634577815
"(0.4, 0.5]",34144,0.46046157450796626,0.4508809514897242
"(0.5, 0.6]",33768,0.533197109689647,0.5488765763501876
"(0.6, 0.7]",27848,0.6380709566216605,0.6469048709339037
"(0.7, 0.8]",18104,0.7477905435262925,0.7460093353298578
"(0.8, 0.9]",8569,0.8502742443692379,0.8402820261744517
"(0.9, 1.0]",979,0.9458631256384066,0.9196262198659083
