logit_bin,count,win_rate,avg_logit
"(-8.0, -7.0]",0,,
"(-7.0, -6.0]",0,,
"(-6.0, -5.0]",0,,
"(-5.0, -4.0]",1,0.0,-4.4683913205018575
"(-4.0, -3.0]",19,0.0,-3.1244219089307848
"(-3.0, -2.0]",1598,0.09011264080100125,-2.2502489466788087
"(-2.0, -1.0]",19221,0.2005618854378024,-1.3520298155054984
"(-1.0, 0.0]",68799,0.40596520298260147,-0.43486978059555603
"(0.0, 1.0]",68235,0.5940792848245036,0.4347988899742674
"(1.0, 2.0]",19153,0.7959588576202161,1.3570911083602883
"(2.0, 3.0]",1848,0.9253246753246753,2.263913061170142
"(3.0, 4.0]",32,1.0,3.2428730139495374
"(4.0, 5.0]",0,,
"(5.0, 6.0]",0,,
"(6.0, 7.0]",0,,
"(7.0, 8.0]",0,,
