moveType,moves,avg_delta,median_delta,p90_delta,p10_delta,avg_move_value,median_move_value
concede,66,0.0,0.0,0.0,0.0,0.0,0.0
counter,2804,0.05135520684736091,1.0,1.0,-1.0,0.05135520684736091,1.0
deal,2333,0.0,0.0,0.0,0.0,0.0,0.0
draw,28832,0.03686875693673696,0.0,1.0,-1.0,0.03686875693673696,0.0
faceCard,8537,-0.03068993791730116,-0.5,1.0,-1.0,-0.03068993791730116,-0.5
fizzle,2142,-0.007469654528478058,0.0,0.0,0.0,-0.007469654528478058,0.0
jack,2597,-0.016904120138621474,-0.5999999999999996,3.0,-3.0,-0.016904120138621474,-0.5999999999999996
oneOff,17328,-0.00034626038781163234,-0.9999999999999991,1.0,-1.0,-0.00034626038781163234,-0.9999999999999991
pass,450,0.0,0.0,0.0,0.0,0.0,0.0
points,11482,-0.04807524821459676,-0.1999999999999993,1.0,-1.0,-0.04807524821459676,-0.1999999999999993
resolve,16228,0.010894749815134339,0.0,1.5000000000000009,-1.5,0.010894749815134339,0.0
resolveFive,3127,-0.05612408058842342,-1.0,2.0,-2.0,-0.05612408058842342,-1.0
resolveFour,2344,-0.08383105802047781,-1.5,2.0,-2.0,-0.08383105802047781,-1.5
resolveThree,2398,-0.039616346955796494,-1.0,1.0,-1.0,-0.039616346955796494,-1.0
scuttle,2735,0.032138939670932364,0.1999999999999993,0.8000000000000007,-0.8000000000000007,0.032138939670932364,0.1999999999999993
sevenDiscard,10,0.05,0.0,0.04999999999999982,0.0,0.05,0.0
sevenFaceCard,568,-0.02112676056338028,-0.5,2.0,-2.0,-0.02112676056338028,-0.5
sevenJack,86,0.2034883720930231,1.0999999999999996,4.0,-4.0,0.2034883720930231,1.0999999999999996
sevenOneOff,1042,0.0,0.0,0.0,0.0,0.0,0.0
sevenPoints,671,-0.08166915052160957,-0.20000000000000018,2.0,-2.0,-0.08166915052160957,-0.20000000000000018
sevenScuttle,77,0.5246753246753246,1.5999999999999996,2.0,-1.8000000000000007,0.5246753246753246,1.5999999999999996
stalemateAccept,89,0.0,0.0,0.0,0.0,0.0,0.0
stalemateReject,8,0.0,0.0,0.0,0.0,0.0,0.0
stalemateRequest,97,0.0,0.0,0.0,0.0,0.0,0.0
