diff_bin,states,p0_win_rate,p1_win_rate,stalemate_rate,leader_win_rate,avg_moves_to_end
"(-inf, -8.0]",10.0,0.0,1.0,0.0,1.0,13.0
"(-8.0, -6.0]",233.0,0.0430622009569378,0.9569377990430622,0.0,0.8583690987124464,10.141630901287554
"(-6.0, -4.0]",2715.0,0.08706677937447169,0.9129332206255283,0.0,0.7955801104972375,18.07476979742173
"(-4.0, -2.0]",15972.0,0.2193877551020408,0.7806122448979592,0.0,0.6609691960931631,27.354620586025543
"(-2.0, -1.0]",21941.0,0.36866038947143165,0.6313396105285684,0.0,0.5378515108700607,34.41657171505401
"(-1.0, 0.0]",28576.0,0.44084219133278824,0.5591578086672118,0.0,0.3306620940649496,36.09182530795073
"(0.0, 1.0]",17806.0,0.5236294896030246,0.4763705103969754,0.0,0.4355835111760081,33.58261260249354
"(1.0, 2.0]",9751.0,0.6637844611528823,0.3362155388471178,0.0,0.5432263357604348,29.40324069326223
"(2.0, 4.0]",7599.0,0.8037353083239414,0.19626469167605862,0.0,0.6569285432293723,24.00065798131333
"(4.0, 6.0]",1340.0,0.9136690647482014,0.08633093525179857,0.0,0.7582089552238805,17.534328358208956
"(6.0, 8.0]",107.0,0.8051948051948052,0.19480519480519481,0.0,0.5794392523364486,9.953271028037383
"(8.0, inf]",1.0,,,,0.0,6.0
