diff_bin,states,p0_win_rate,p1_win_rate,stalemate_rate,leader_win_rate,avg_moves_to_end
"(-inf, -8.0]",41.0,0.14634146341463414,0.8536585365853658,0.0,0.8536585365853658,7.780487804878049
"(-8.0, -6.0]",645.0,0.0817391304347826,0.9182608695652174,0.0,0.8186046511627907,12.768992248062016
"(-6.0, -4.0]",4770.0,0.11194209891435464,0.8880579010856453,0.0,0.7716981132075472,19.29287211740042
"(-4.0, -2.0]",20518.0,0.26202714409471556,0.7379728559052844,0.0,0.6227702505117458,28.914709035968418
"(-2.0, -1.0]",23024.0,0.39859320046893315,0.6014067995310668,0.0,0.5124652536483669,35.45000868658791
"(-1.0, 0.0]",25854.0,0.4604775255494257,0.5395224744505743,0.0,0.09522704417111472,36.44325829658854
"(0.0, 1.0]",15200.0,0.5498292702294926,0.4501707297705074,0.0,0.45552631578947367,33.55861842105263
"(1.0, 2.0]",7931.0,0.6987635239567234,0.30123647604327664,0.0,0.5700416088765603,28.064935064935064
"(2.0, 4.0]",6653.0,0.8165494261384673,0.18345057386153277,0.0,0.6630091687960319,23.590560649331128
"(4.0, 6.0]",1273.0,0.9106145251396648,0.0893854748603352,0.0,0.7682639434406913,17.99528672427337
"(6.0, 8.0]",138.0,0.8431372549019608,0.1568627450980392,0.0,0.6231884057971014,12.746376811594203
"(8.0, inf]",4.0,0.6666666666666666,0.3333333333333333,0.0,0.5,12.75
